Food Name,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
,WATER,TOTNIT,PROT,FAT,CHO,KCALS,KJ,STAR,OLIGO,TOTSUG,GLUC,GALACT,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFAC,SATFOD,TOTn6PFAC,TOTn6PFOD,TOTn3PFAC,TOTn3PFOD,MONOFACc,MONOFODc,MONOFAC,MONOFOD,POLYFACc,POLYFODc,POLYFAC,POLYFOD,SATFACx6,SATFODx6,TOTBRFAC,TOTBRFOD,FACTRANS,FODTRANS,CHOL,NA,K,CA,MG,P,FE,CU,ZN,CL,MN,SE,I,RET,CAREQU,RETEQU,VITD,VITE,VITK1,THIA,RIBO,NIAC,TRYP60,NIACEQU,VITB6,VITB12,FOLT,PANTO,BIOT,VITC
,Water,Total nitrogen,Protein,Fat,Carbohydrate,kcal,kJ,Starch,Oligosaccharide,Total sugars,Glucose,Galactose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids per 100g fatty acids,Saturated fatty acids per 100g food,Total n-6 polyunsaturated fatty acids per 100g fatty acid,Total n-6 polyunsaturated fatty acids per 100g food,Total n-3 polyunsaturated fatty acids per 100g fatty acid,Total n-3 polyunsaturated fatty acids per 100g food,cis-Monounsaturated fatty acids /100g FA,cis-Monounsaturated fatty acids /100g Food,Monounsaturated fatty acids per 100g fatty acids,Monounsaturated fatty acids per 100g food,cis-Polyunsaturated fatty acids /100g FA,cis-Polyunsaturated fatty acids /100g Food,Polyunsaturated fatty acids per 100g fatty acids,Polyunsaturated fatty acids per 100g food,Saturated fatty acids excluding branch per 100 g fatty acid,Saturated fatty acids excluding branch per 100 g food,Total branched chain per 100g fatty acid,Total branched chain per 100g food,Total Trans fatty acids per 100g fatty acids,Total Trans fatty acids per 100g food,Cholesterol,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Copper,Zinc,Chloride,Manganese,Selenium,Iodine,Retinol,Carotene,Total retinol equivalent,Total Vitamin D,Total Vitamin E,Phylloquinone,Thiamin,Riboflavin,Niacin,Tryptophan divided by 60,Niacin equivalent,Vitamin B6,Vitamin B12,Folate,Pantothenate,Biotin,Vitamin C
"Lamb, chump chops, fried, lean",60.0,4.50,28.1,11.2,0.0,213,892,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48.50,5.00,6.93,0.71,2.18,0.23,33.75,3.47,39.90,4.10,8.34,0.86,9.10,0.90,44.65,4.58,3.86,0.40,6.96,0.71,100.0,74,400,33,28,260,2.40,0.12,4.1,70,0.02,4,6,0,0,0,0.6,N,0,0.18,0.28,6.8,5.9,12.7,0.44,3.0,2,1.30,2.0,0
"Lamb, chump chops, fried, lean and fat",51.1,3.94,24.7,23.2,0.0,308,1278,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.70,10.80,0,0,0,0,0,0,39.90,8.60,0,0,7.90,1.70,0,0,0,0,7.90,1.70,98.0,72,360,27,25,230,2.10,0.10,3.4,68,0.02,4,6,7,0,7,0.6,N,0,0.16,0.25,5.9,4.9,10.8,0.37,2.0,2,1.16,2.0,0
"Lamb, chump chops, fried, lean and fat, weighed with bone",42.4,3.27,20.5,19.3,0.0,256,1063,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.70,9.00,0,0,0,0,0,0,39.90,7.20,0,0,7.90,1.40,0,0,0,0,7.90,1.40,81.0,60,300,22,21,190,1.70,0.08,2.8,56,0.01,3,5,6,0,6,0.5,N,0,0.13,0.21,4.9,4.1,9,0.31,2.0,2,0.96,2.0,0
"Lamb, chump chops, fried, lean, weighed with fat and bone",37.8,2.83,17.7,7.1,0.0,135,564,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48.50,3.20,0,0,0,0,0,0,39.90,2.60,0,0,9.10,0.60,0,0,0,0,7.00,0.50,63.0,47,250,21,18,160,1.50,0.08,2.6,44,0.01,3,4,0,0,0,0.4,N,0,0.11,0.18,4.3,3.7,8,0.28,2.0,1,0.82,2.0,0
"Lamb, chump chops, raw, lean and fat",62.7,2.92,18.3,18.8,0.0,242,1007,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.80,8.80,0,0,0,0,0,0,41.70,7.30,0,0,5.60,1.00,0,0,0,0,9.20,1.60,74.0,56,300,15,21,180,1.50,0.07,2.5,65,0.01,2,10,11,0,11,0.5,0.07,0,0.14,0.20,4.8,3.4,8.2,0.19,3.0,2,1.16,2.0,0
"Lamb, chump chops, raw, lean and fat, weighed with bone",54.6,2.54,15.9,16.4,0.0,211,877,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.80,7.60,0,0,0,0,0,0,41.70,6.40,0,0,5.60,0.90,0,0,0,0,9.20,1.40,64.0,49,260,13,18,160,1.30,0.06,2.2,56,0.01,2,9,10,0,10,0.4,0.06,0,0.12,0.17,4.2,3.0,7.2,0.16,3.0,2,1.01,1.0,0
"Lamb, chump steaks, fried, lean and fat",51.8,3.97,24.8,20.4,0.0,283,1176,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.50,9.40,0,0,0,0,0,0,39.90,7.60,0,0,8.20,1.60,0,0,0,0,7.70,1.50,96.0,71,360,28,25,230,2.10,0.10,3.5,67,0.02,4,6,6,0,6,0.6,N,0,0.16,0.25,6.0,5.0,11,0.37,2.0,2,1.16,2.0,0
"Lamb, chump steaks, raw, lean and fat",63.8,2.97,18.6,16.4,0.0,222,923,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.60,7.60,0,0,0,0,0,0,41.80,6.40,0,0,5.60,0.90,0,0,0,0,9.10,1.40,73.0,56,310,15,21,190,1.50,0.07,2.6,65,0.01,2,10,10,0,10,0.6,0.07,0,0.14,0.20,4.9,3.5,8.4,0.19,3.0,2,1.19,2.0,0
"Lamb, fat, average, cooked",28.3,2.64,15.4,56.3,0.0,568,2345,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.00,28.40,0,0,0,0,0,0,40.20,21.60,0,0,4.40,2.40,0,0,0,0,9.67,5.19,100.0,72,260,11,18,160,1.10,0.05,1.5,67,0.01,4,6,29,0,29,0.5,0.28,0,0.09,0.17,3.6,2.0,5.6,0.20,1.0,4,0.74,1.0,0
"Lamb, fat, average, raw",34.7,2.13,13.3,51.6,0.0,518,2135,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.50,26.30,0,0,0,0,0,0,39.70,19.50,0,0,4.60,2.30,0,0,0,0,9.80,4.80,92.0,36,140,9,9,86,0.70,0.03,0.9,43,0.01,2,6,29,0,29,0.5,0.14,0,0.07,0.12,2.2,1.3,3.5,0.10,1.0,4,0.47,1.0,0
"Lamb, fat, raw, average, extra trimmed",15.4,1.04,6.5,77.2,0.0,721,2967,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,N,N,0,0,0,0,0,0,N,N,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N
"Lamb, lean only, raw, average",70.6,3.23,20.2,8.0,0.0,153,639,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.46,3.84,0.28,2.23,0.16,35.06,2.58,0,3.09,4.85,0.36,0,0.45,47.02,3.46,2.03,0.15,8.18,0.60,74.0,70,330,12,22,190,1.40,0.08,3.3,74,0.01,4,6,6,0,6,0.4,0.09,0,0.09,0.20,5.4,3.9,9.3,0.30,2.0,6,0.92,2.0,0
"Lamb, lean only, raw, average, extra trimmed",71.6,3.21,20.0,7.5,0.0,148,618,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,N,N,0,0,0,0,0,0,N,N,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N
"Lamb, leg chops, grilled, lean and fat",59.4,4.53,28.3,12.0,0.0,221,925,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.40,5.00,0,0,0,0,0,0,45.70,5.10,0,0,6.50,0.70,0,0,0,0,8.60,1.00,105.0,71,410,28,29,250,2.10,0.11,4.5,73,0.02,4,6,0,0,0,0.3,0.10,0,0.20,0.27,7.8,5.8,13.6,0.31,3.0,2,1.36,2.0,0
"Lamb, leg chops, grilled, lean and fat, weighed with bone",49.9,3.81,23.8,10.1,0.0,186,778,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.40,4.20,0,0,0,0,0,0,45.70,4.30,0,0,6.50,0.60,0,0,0,0,8.60,0.80,88.0,59,340,23,24,210,1.80,0.09,3.8,61,0.02,3,5,0,0,0,0.2,0.08,0,0.17,0.23,6.6,4.9,11.5,0.26,2.0,2,1.14,2.0,0
"Lamb, leg joint, roasted, lean",58.9,4.93,30.8,9.6,0.0,210,879,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.90,3.40,0,0,0,0,0,0,46.00,4.00,0,0,6.70,0.60,0,0,0,0,8.60,0.80,110.0,82,370,10,27,230,2.30,0.12,5.2,77,0.01,4,6,0,0,0,0.6,0.06,0,0.15,0.26,6.2,6.4,12.6,0.31,3.0,6,1.50,2.0,0
"Lamb, leg joint, roasted, lean and fat",56.7,4.75,29.7,13.0,0.0,236,986,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.50,4.70,0,0,0,0,0,0,45.70,5.60,0,0,6.40,0.80,0,0,0,0,8.60,1.00,110.0,82,360,10,27,230,2.20,0.12,4.9,77,0.01,4,6,0,0,0,0.6,0.08,0,0.15,0.25,6.0,6.1,12.1,0.30,3.0,6,1.44,3.0,0
"Lamb, leg steaks, grilled, lean",61.5,4.67,29.2,9.0,0.0,198,829,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43.90,3.60,0,0,0,0,0,0,46.00,3.80,0,0,6.70,0.60,0,0,0,0,8.60,0.70,105.0,70,420,20,29,260,2.20,0.11,4.7,73,0.02,4,6,0,0,0,0.3,0.08,0,0.21,0.28,8.1,6.1,14.2,0.32,3.0,2,1.40,3.0,0
"Lamb, leg steaks, grilled, lean and fat",58.6,4.48,28.0,13.2,0.0,231,964,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.60,5.50,0,0,0,0,0,0,45.60,5.60,0,0,6.40,0.80,0,0,0,0,8.60,1.10,105.0,71,400,19,28,250,2.10,0.11,4.4,73,0.02,4,6,0,0,0,0.3,0.10,0,0.20,0.27,7.7,5.7,13.2,0.31,3.0,2,1.34,2.0,0
"Lamb, leg, half fillet, braised, lean",61.8,4.37,27.3,10.5,0.0,204,853,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47.60,4.60,0,0,0,0,0,0,42.70,4.10,0,0,6.80,0.70,0,0,0,0,7.30,0.70,97.0,58,300,9,23,210,2.00,0.10,4.5,68,0.01,4,6,0,0,0,0.6,0.01,0,0.13,0.28,5.7,5.7,11.4,0.28,3.0,8,1.30,2.0,0
"Lamb, leg, half fillet, braised, lean and fat",56.9,4.10,25.6,17.1,0.0,256,1068,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48.30,7.70,0,0,0,0,0,0,42.70,6.80,0,0,6.20,1.00,0,0,0,0,7.60,1.20,99.0,62,300,10,23,200,1.90,0.09,4.0,69,0.01,4,6,5,0,5,0.6,0.06,0,0.13,0.27,5.4,5.1,10.5,0.26,2.0,7,1.22,2.0,0
"Lamb, leg, half knuckle, pot-roasted, lean",61.3,4.70,29.4,9.3,0.0,201,844,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46.10,3.90,0,0,0,0,0,0,43.90,3.70,0,0,6.70,0.60,0,0,0,0,8.10,0.70,105.0,58,300,11,24,210,2.10,0.11,4.6,74,0.01,4,6,0,0,0,0.6,0.01,0,0.11,0.24,6.0,6.1,12.1,0.30,3.0,3,1.40,3.0,0
"Lamb, leg, half knuckle, pot-roasted, lean and fat",58.1,4.49,28.1,13.8,0.0,237,988,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.70,6.00,0,0,0,0,0,0,43.80,5.60,0,0,6.30,0.80,0,0,0,0,8.20,1.10,105.0,60,300,11,24,200,2.00,0.10,4.3,74,0.01,4,6,0,0,0,0.6,0.04,0,0.11,0.23,5.8,5.7,11.5,0.30,3.0,3,1.33,2.0,0
"Lamb, leg, half knuckle, pot-roasted, lean and fat, weighed with bone",42.4,3.30,20.5,10.1,0.0,173,722,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46.70,4.40,0,0,0,0,0,0,43.80,4.10,0,0,6.30,0.60,0,0,0,0,8.20,0.80,77.0,44,220,8,18,150,1.50,0.07,3.1,54,0,3,4,0,0,0,0.4,0.03,0,0.08,0.17,4.2,4.2,8.4,0.22,2.0,2,0.97,2.0,0
"Lamb, leg, whole, roasted well done, lean",59.1,5.01,31.3,9.2,0.0,208,873,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43.90,3.70,0,0,0,0,0,0,46.00,3.90,0,0,6.70,0.60,0,0,0,0,8.60,0.70,110.0,62,350,8,27,230,2.30,0.13,4.8,78,0.01,4,6,0,0,0,0.6,0.04,0,0.13,0.27,6.9,6.5,13.4,0.30,3.0,3,1.50,3.0,0
"Lamb, leg, whole, roasted well done, lean and fat",56.2,4.77,29.8,13.6,0.0,242,1010,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.70,5.70,0,0,0,0,0,0,45.60,5.80,0,0,6.40,0.80,0,0,0,0,8.60,1.10,110.0,64,340,9,26,220,2.20,0.12,4.5,78,0.01,4,6,0,0,0,0.6,0.07,0,0.13,0.26,6.6,6.1,12.7,0.29,3.0,3,1.43,3.0,0
"Lamb, leg, whole, roasted, lean and fat",57.3,4.50,28.1,14.2,0.0,240,1003,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.70,5.93,4.20,0.56,2.20,0.29,38.32,5.09,45.60,6.05,5.01,0.66,6.40,0.84,42.66,5.66,2.03,0.27,8.64,1.15,100.0,64,340,7,25,210,1.72,0.10,4.3,67,0.02,4,3,0,0,0,0.6,0.05,0,0.12,0.28,5.9,5.4,11.3,0.32,2.0,2,1.41,2.0,0
"Lamb, leg, whole, roasted, lean only",60.5,4.75,29.7,9.4,0.0,203,853,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.90,3.80,0,0,0,0,0,0,46.00,3.90,0,0,6.80,0.60,0,0,0,0,8.60,0.70,100.0,63,360,7,26,220,1.80,0.11,4.6,67,0.02,4,3,0,0,0,0.7,0.03,0,0.12,0.29,6.2,5.8,12.0,0.34,2.0,2,1.50,3.0,0
"Lamb, loin chops, grilled, lean",59.6,4.67,29.2,10.7,0.0,213,892,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.70,4.90,4.16,0.41,2.16,0.21,33.69,3.30,41.20,4.00,5.22,0.51,6.40,0.60,47.43,4.64,2.28,0.22,8.67,0.85,96.0,80,400,22,28,240,2.10,0.10,3.6,73,0.02,4,6,0,0,0,0.6,0.02,0.28,0.17,0.26,8.3,6.1,14.4,0.52,3.0,6,1.40,3.0,0
"Lamb, loin chops, grilled, lean and fat",50.5,4.24,26.5,22.1,0.0,305,1268,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.60,10.50,0,0,0,0,0,0,40.80,8.40,0,0,6.10,1.30,0,0,0,0,9.10,1.90,100.0,81,370,20,27,230,1.90,0.09,3.1,74,0.02,4,6,7,0,7,0.3,0.09,0,0.16,0.25,7.3,5.2,12.5,0.44,3.0,6,1.28,2.0,0
"Lamb, loin chops, grilled, lean and fat, weighed with bone",40.9,3.44,21.5,17.9,0.0,247,1028,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.60,8.50,0,0,0,0,0,0,40.80,6.70,0,0,1.00,1.00,0,0,0,0,9.10,1.50,81.0,66,300,16,21,190,1.50,0.07,2.5,60,0.01,3,5,6,0,6,0.2,0.07,0,0.13,0.20,5.9,4.2,10.1,0.35,2.0,5,1.04,2.0,0
"Lamb, loin chops, grilled, lean, weighed with fat and bone",36.4,2.85,17.8,6.5,0.0,130,543,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.70,3.00,0,0,0,0,0,0,41.20,2.50,0,0,6.30,0.40,0,0,0,0,8.70,0.50,59.0,49,240,13,17,150,1.30,0.06,2.2,45,0.01,2,4,0,0,0,0.4,0.01,0.17,0.10,0.16,5.1,3.7,8.8,0.32,2.0,4,0.85,2.0,0
"Lamb, loin chops, microwaved, lean",54.6,5.18,32.4,12.5,0.0,242,1013,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.70,5.70,0,0,0,0,0,0,41.20,4.70,0,0,6.30,0.70,0,0,0,0,8.70,1.00,115.0,75,340,20,26,220,2.10,0.11,4.0,81,0.01,4,6,0,0,0,0.6,0.09,0,0.15,0.21,6.3,6.7,13,0.32,3.0,3,1.60,3.0,0
"Lamb, loin chops, microwaved, lean and fat",45.3,4.39,27.5,26.9,0.0,352,1463,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.80,12.80,0,0,0,0,0,0,40.70,10.20,0,0,6.00,1.50,0,0,0,0,9.20,2.30,110.0,74,310,17,24,200,1.80,0.09,3.3,76,0.01,4,6,8,0,8,0.6,0.14,0,0.14,0.20,5.5,5.4,10.9,0.27,3.0,3,1.34,2.0,0
"Lamb, loin chops, microwaved, lean and fat, weighed with bone",37.1,3.60,22.5,22.1,0.0,289,1200,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.80,10.50,0,0,0,0,0,0,40.70,8.40,0,0,6.00,1.20,0,0,0,0,9.20,1.90,90.0,60,250,14,20,160,1.50,0.07,2.7,62,0.01,3,5,7,0,7,0.5,0.11,0,0.11,0.16,4.5,4.4,8.9,0.22,2.0,2,1.10,2.0,0
"Lamb, loin chops, microwaved, lean, weighed with fat and bone",31.7,3.01,18.8,7.3,0.0,141,590,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.70,3.30,0,0,0,0,0,0,41.20,2.80,0,0,6.30,0.40,0,0,0,0,8.70,0.60,67.0,44,190,12,15,130,1.20,0.06,2.3,47,0.01,2,3,0,0,0,0.3,0.05,0,0.09,0.12,3.7,3.9,7.6,0.19,2.0,2,0.93,2.0,0
"Lamb, loin chops, raw, lean and fat",59.3,2.81,17.6,23.0,0.0,277,1150,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.40,10.80,0,0,0,0,0,0,41.10,8.80,0,0,5.70,1.20,0,0,0,0,8.50,1.80,79.0,63,280,13,19,170,1.30,0.07,2.0,65,0.01,3,7,12,0,12,0.8,0.07,0,0.13,0.22,5.0,3.6,8.6,0.23,1.0,3,0.86,1.0,0
"Lamb, loin chops, raw, lean and fat, weighed with bone",46.3,2.19,13.7,17.9,0.0,216,895,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.40,8.40,0,0,0,0,0,0,41.10,6.90,0,0,5.70,1.00,0,0,0,0,8.50,1.40,62.0,49,220,10,15,130,1.00,0.05,1.6,51,0.01,2,5,9,0,9,0.2,0.05,0,0.10,0.17,3.9,2.8,6.7,0.18,1.0,2,0.67,1.0,0
"Lamb, loin chops, roasted, lean",52.1,5.50,34.4,13.3,0.0,257,1077,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.70,6.10,0,0,0,0,0,0,41.20,5.00,0,0,6.30,0.80,0,0,0,0,8.67,1.06,120.0,91,410,23,30,260,2.50,0.13,5.8,86,0.01,4,6,0,0,0,0.6,0.06,0,0.16,0.38,6.9,7.2,14.1,0.34,3.0,6,1.60,3.0,0
"Lamb, loin chops, roasted, lean and fat",43.8,4.66,29.1,26.9,0.0,359,1490,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.70,12.80,0,0,0,0,0,0,40.70,10.20,0,0,6.00,1.50,0,0,0,0,9.10,2.30,115.0,85,370,20,27,230,2.10,0.11,4.6,80,0.01,4,6,8,0,8,0.6,0.11,0,0.14,0.31,6.0,5.7,11.7,0.29,3.0,5,1.35,2.0,0
"Lamb, loin chops, roasted, lean and fat, weighed with bone",38.5,4.10,22.4,20.7,0.0,316,1312,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.70,11.30,0,0,0,0,0,0,40.70,9.00,0,0,6.00,1.30,0,0,0,0,9.10,1.90,100.0,75,330,18,24,200,1.80,0.10,4.0,70,0.01,3,5,7,0,7,0.5,0.10,0,0.12,0.27,5.3,5.0,10.3,0.25,2.0,4,1.18,2.0,0
"Lamb, loin chops, roasted, lean, weighed with fat and bone",29.2,3.08,19.3,7.4,0.0,144,602,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.70,3.40,0,0,0,0,0,0,41.20,2.80,0,0,6.30,0.40,0,0,0,0,8.70,0.60,68.0,51,230,13,17,150,1.40,0.07,3.2,48,0.01,2,3,0,0,0,0.3,0.03,0,0.09,0.21,3.9,4.0,7.9,0.19,2.0,3,0.90,2.0,0
"Lamb, loin joint, raw, lean and fat",56.7,2.70,16.9,26.6,0.0,307,1272,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.70,12.60,0,0,0,0,0,0,41.00,10.20,0,0,5.60,1.40,0,0,0,0,8.60,2.10,80.0,61,270,13,18,160,1.30,0.06,2.0,63,0.01,3,7,13,0,13,0.4,0.07,0,0.12,0.22,4.8,3.4,8.2,0.21,1.0,3,0.83,1.0,0
"Lamb, loin joint, raw, lean and fat, weighed with bone",43.7,2.08,13.0,20.5,0.0,236,979,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.70,9.70,0,0,0,0,0,0,41.00,7.80,0,0,5.60,1.10,0,0,0,0,8.60,1.60,62.0,47,200,10,14,120,1.00,0.05,1.5,48,0.01,2,5,10,0,10,0.3,0.06,0,0.09,0.17,3.7,2.6,6.3,0.16,1.0,2,0.64,1.0,0
"Lamb, loin joint, roasted, lean",60.4,4.51,28.2,10.7,0.0,209,875,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.70,4.90,0,0,0,0,0,0,41.20,4.00,0,0,6.30,0.60,0,0,0,0,8.70,0.80,100.0,76,350,15,25,220,2.00,0.12,3.7,71,0.02,4,6,0,0,0,0.6,0.01,0,0.14,0.25,7.0,5.9,12.9,0.36,3.0,5,1.40,2.0,0
"Lamb, loin joint, roasted, lean and fat",51.8,4.04,25.3,22.4,0.0,303,1259,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.60,10.60,0,0,0,0,0,0,40.80,8.50,0,0,6.10,1.30,0,0,0,0,9.10,1.90,100.0,75,330,14,23,200,1.80,0.10,3.2,70,0.02,4,6,6,0,6,0.6,0.06,0,0.13,0.23,6.2,5.0,11.2,0.31,2.0,5,1.24,2.0,0
"Lamb, loin joint, roasted, lean and fat, weighed with bone",38.3,2.99,18.7,16.6,0.0,224,932,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.60,7.80,0,0,0,0,0,0,40.80,6.30,0,0,6.10,1.00,0,0,0,0,9.10,1.40,74.0,76,240,10,17,150,1.30,0.08,2.4,52,0.01,3,4,0,0,0,0.4,0.04,0,0.10,0.17,3.7,3.6,7.3,0.23,2.0,4,0.92,2.0,0
"Lamb, mince, raw",67.1,3.06,19.1,13.3,0.0,196,817,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.90,6.20,0,0,0,0,0,0,42.40,5.30,0,0,5.00,0.60,0,0,0,0,8.50,1.10,77.0,69,310,17,21,190,1.60,0.08,3.5,68,0.01,2,6,5,0,5,0.8,0.18,0,0.12,0.18,4.8,3.7,8.5,0.20,2.0,2,0.90,2.0,0
"Lamb, mince, stewed",62.8,3.90,24.4,12.3,0.0,208,870,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.50,5.94,3.03,0.36,1.77,0.21,35.00,4.12,41.90,4.93,4.18,0.49,4.80,0.57,48.30,5.68,2.22,0.26,7.56,0.89,96.0,59,270,15,20,180,2.10,0.11,4.6,46,0.02,3,5,5,0,5,0.5,0.11,0,0.09,0.21,5.2,5.3,10.5,0.21,2.0,9,0.90,4.0,0
"Lamb, mince, stewed with onions",77.0,1.69,10.6,8.5,2.8,129,539,1.8,0,0.6,0.2,0,0.2,0.2,0.0,0.0,0.0,0.2,0.4,0,3.34,0,0,0,0,0,0,0,3.47,0,0,0,0.67,0,0,0,0,0,0.58,40.4,317,188,15,13,107,0.96,0.05,1.9,44,0.04,1,5,3,1,3,0.4,0.39,0,0.07,0.08,2.1,2.0,4.1,0.10,0.8,2,0.39,0.9,0
