name,display_name,emoji,recommend,water_g,nitrogen_g,protein_g,fat_g,carbohydrate_g,energy_kcal,energy_kJ,starch_g,oligosaccharide_g,sugar_g,glucose_g,galactose_g,fructose_g,sucrose_g,maltose_g,lactose_g,alcohol_g,non_starch_polysaccharide_g,fibre_g,saturated_fat_g,n_6_polyunsaturated_fat_g,n_3_polyunsaturated_fat_g,cis_monounsaturated_g,monounsaturated_fat_g,cis_polyunsaturated_fat_g,polyunsaturated_fat_g,branched_chain_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,copper_mg,zinc_mg,chloride_mg,manganese_mg,selenium_ug,iodine_ug,retinol_ug,carotene_ug,retinol_equivalent_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k1_ug,thiamin_mg,riboflavin_mg,niacin_mg,tryptophan_over_60_mg,niacin_equivalent_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,pantothenate_mg,biotin_ug,vitamin_c_mg
unit,,,,g,g,g,g,g,kcal,kJ,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,ug,ug,ug,ug,ug,ug,mg,ug,mg,mg,mg,mg,mg,mg,ug,ug,mg,ug,mg
code,,,,WATER,TOTNIT,PROT,FAT,CHO,KCALS,KJ,STAR,OLIGO,TOTSUG,GLUC,GALACT,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFOD,TOTn6PFOD,TOTn3PFOD,MONOFODc,MONOFOD,POLYFODc,POLYFOD,TOTBRFOD,FODTRANS,CHOL,NA,K,CA,MG,P,FE,CU,ZN,CL,MN,SE,I,RET,CAREQU,RETEQU,VITD,VITE,VITK1,THIA,RIBO,NIAC,TRYP60,NIACEQU,VITB6,VITB12,FOLT,PANTO,BIOT,VITC
detail,,,,Water,Total nitrogen,Protein,Fat,Carbohydrate,Energy (kcal),Energy (kJ),Starch,Oligosaccharide,Sugars,Glucose,Galactose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids,Total n-6 polyunsaturated fatty acids,Total n-3 polyunsaturated fatty acids,cis-Monounsaturated fatty acids,Monounsaturated fatty acids,cis-Polyunsaturated fatty acids,Polyunsaturated fatty acids,Total branched chain,Total Trans fatty acids,Cholesterol,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Copper,Zinc,Chloride,Manganese,Selenium,Iodine,Retinol,Carotene,Total retinol equivalent,Vitamin D,Vitamin E,Phylloquinone,Thiamin,Riboflavin,Niacin,Tryptophan divided by 60,Niacin equivalent,Vitamin B6,Vitamin B12,Folate,Pantothenate,Biotin,Vitamin C
"Beef, mince, stewed",Stewed Beef Mince,🥩,FALSE,74.3,1.75,10.9,9.9,2.5,139,579,1.6,0,0.6,0.2,0,0.2,0.2,0,0,0,0.2,0.3,3.79,0,0,0,4.39,0,0.63,0,0.43,31.5,283,163,11,11,93,0.83,0.02,2.1,395,0.03,4,5,0,1,0,0.4,0.39,0,0.04,0.06,2.5,2,4.5,0.17,0.8,5,0.22,0.6,0
"Beef, mince, stewed",Stewed Beef Mince,🥩,FALSE,64.4,3.49,21.8,13.5,0,209,870,0,0,0,0,0,0,0,0,0,0,0,0,5.72,0.4,0.16,5.21,5.71,0.38,0.56,0.28,0.68,79,73,210,20,15,150,2.7,0.1,5,63,0.02,7,14,9,25,13,0.8,0.34,7.18,0.03,0.19,4.6,4.4,9,0.28,2,17,0.36,5,0
"Beef, mince, with vegetables, stewed",Beef and Vegetable Mince Stew,🥩,FALSE,75.3,1.48,9.2,7.2,5.7,122,508,3,0,2.3,0.8,0,0.6,0.9,0,0,0,0.7,1.2,3.04,0,0,0,3.03,0,0.26,0,0.35,25.5,254,178,18,11,83,0.78,0.03,1.7,377,0.06,3,5,0,2005,334,0.3,0.16,0,0.06,0.05,2.2,1.7,3.4,0.18,1,6,0.22,0.6,0
"Beef, minced, stewed with onions, extra lean",Stewed Beef Mince with Onions (Extra Lean),🥩,FALSE,80.3,1.94,12.1,3.6,2.5,113,471,1.6,0,0.6,0.2,0,0.2,0.2,0,0,0,0.2,0.3,1.24,0,0,0,1.8,0,0.47,0,0.13,19.4,288,179,11,12,103,0.88,0.05,2.4,400,0.03,4,6,0,1,0,0.3,0.39,0,0.04,0.06,2.8,2.2,5,0.19,0.8,5,0.24,0.6,0
"Beef, rump steak, barbecued, lean",BBQ Rump Steak (Lean),🥩,FALSE,62.4,4.99,31.2,5.7,0,176,741,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,2.4,0,0.4,0,0.2,76,78,460,8,29,270,3.2,0.1,5.1,61,0.04,10,11,0,8,1,0.7,0.2,0,0.15,0.32,6.8,7,13.8,0.36,3,10,0.78,2,0
"Beef, rump steak, barbecued, lean and fat",BBQ Rump Steak,🥩,FALSE,59.3,4.72,29.5,9.4,0,203,849,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4.1,0,0.6,0,0.3,76,74,430,8,27,250,3,0.09,4.8,58,0.04,9,11,0,7,0,0.6,0.19,0,0.14,0.31,6.3,6.5,12.8,0.34,2,11,0.75,2,0
"Beef, rump steak, fried in corn oil, lean and fat",Pan-Fried Rump Steak,🥩,FALSE,57.2,4.54,28.4,12.7,0,228,953,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,5.2,0,1.6,0,0.4,84,71,360,5,23,220,2.7,0.02,4.7,47,0.02,9,9,0,7,1,0.6,N,0,0.13,0.27,5.3,6,11.3,0.57,2,5,0.7,2,0
"Beef, rump steak, fried in corn oil, lean only",Pan-Fried Rump Steak (Lean),🥩,FALSE,61.7,4.94,30.9,6.6,0,183,770,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0.81,0.09,2.38,2.52,0.84,0.9,0.1,0.2,86,78,390,5,25,240,3,0.02,5.2,50,0.02,10,9,0,8,1,0.7,0.18,0,0.14,0.29,5.9,6.7,12.6,0.63,2,5,0.74,2,0
"Beef, rump steak, from steakhouse, lean and fat",Steakhouse Rump Steak,🥩,FALSE,57.9,4.4,27.5,11.4,0,213,889,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,4.9,0,0.7,0,0.4,74,66,370,7,25,230,2.2,0.04,4.8,56,0.02,9,11,0,7,0,0.6,N,0,0.12,0.25,5.7,5.9,11.6,0.57,2,18,0.83,2,0
"Beef, rump steak, from steakhouse, lean only",Steakhouse Rump Steak (Lean),🥩,FALSE,63,4.77,29.8,4.7,0,162,681,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0.3,0,0.1,73,72,410,7,28,250,2.4,0.04,5.4,60,0.02,10,11,0,8,1,0.7,N,0,0.13,0.27,6.5,6.7,13.2,0.63,2,17,0.88,2,0
"Beef, rump steak, grilled, lean only",Grilled Rump Steak (Lean),🥩,FALSE,62.9,4.96,31,5.9,0,177,745,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0.5,0,0.2,76,74,430,7,29,260,3.6,0.04,5.6,62,0.02,10,12,0,8,1,0.4,0.07,0,0.13,0.28,6.8,7,13.8,0.65,3,5,0.91,2,0
"Beef, rump steak, raw, lean",Raw Rump Steak (Lean),🥩,FALSE,72.7,3.52,22,4.1,0,125,526,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,1.7,0,0.3,0,0.1,59,60,370,4,23,210,2.1,0.04,3.8,39,0,7,11,0,0,0,0.5,0.05,0,0.1,0.25,5.4,4.9,10.3,0.66,2,16,0.67,1,0
"Beef, rump steak, raw, lean and fat",Raw Rump Steak,🥩,FALSE,68.2,3.31,20.7,10.1,0,174,726,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,4.4,0,0.6,0,0.3,60,56,350,4,22,200,2.7,0.04,3.5,38,0,7,11,0,0,0,0.4,0.04,0.8,0.09,0.23,4.9,4.5,9.4,0.61,2,5,0.65,1,0
"Beef, rump steak, strips, stir-fried in corn oil, lean",Stir-Fried Rump Steak (Lean),🥩,FALSE,57.9,5.17,32.3,8.8,0,208,875,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,3.5,0,1.2,0,0.3,92,78,450,7,30,270,2.6,0.04,5.8,64,0.02,11,12,0,8,0,0.7,0.06,0,0.21,0.3,6.8,7.2,14,0.73,3,5,0.94,2,0
"Beef, rump steak, strips, stir-fried in corn oil, lean and fat",Stir-Fried Rump Steak,🥩,FALSE,53.8,4.75,29.7,14.4,0,248,1038,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,5.9,0,1.8,0,0.4,91,71,410,7,27,250,2.4,0.04,5.2,60,0.02,10,12,0,7,0,0.6,N,0,0.19,0.28,6.1,6.4,12.5,0.66,2,7,0.88,2,0
"Beef, silverside, pot-roasted, lean",Pot-Roasted Silverside Beef (Lean),🍲,FALSE,58.9,5.44,34,6.3,0,193,811,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.9,0,0.3,0,0.2,93,58,320,5,23,220,2.8,0.08,5.2,45,0.02,11,16,0,8,0,0.8,0.05,0,0.17,0.26,5,7.4,12.4,0.33,2,7,0.43,2,0
"Beef, silverside, pot-roasted, lean and fat",Pot-Roasted Silverside Beef,🍲,FALSE,54,4.96,31,13.7,0,247,1034,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0.54,0.12,6.02,6.3,0.54,0.7,0.24,0.4,92,54,290,5,21,200,2.5,0.07,4.6,44,0.02,10,16,0,7,0,0.6,0.05,0,0.15,0.24,4.5,6.5,11,0.31,2,9,0.45,2,0
"Beef, silverside, raw, lean",Raw Silverside Beef (Lean),🥩,FALSE,72.2,3.81,23.8,4.3,0,134,564,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,2,0,0.2,0,0.1,61,62,350,6,23,200,2,0.02,3.8,52,0,8,6,0,0,0,0.5,0.15,0,0.1,0.27,5.6,5,10.6,0.57,2,16,0.81,1,0
"Beef, silverside, raw, lean and fat",Raw Silverside Beef,🥩,FALSE,62.5,3.26,20.4,14.8,0,215,894,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,6.9,0,0.7,0,0.5,57,53,300,5,19,170,1.7,0.02,3.2,45,0,7,6,0,0,0,0.4,0.13,0,0.09,0.23,4.6,4.1,8.7,0.48,2,15,0.7,1,0
"Beef, silverside, salted, boiled, lean",Boiled Salt Beef Silverside (Lean),🥩,FALSE,60.4,4.86,30.4,6.9,0,184,772,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3.4,0,0.3,0,0.2,74,1020,190,10,17,150,2,0,5.3,1690,0.02,10,11,0,8,1,0.7,0.1,0,0.05,0.27,2.6,6.8,9.4,0.39,2,12,0.4,2,0
"Beef, silverside, salted, boiled, lean and fat",Boiled Salt Beef Silverside,🥩,FALSE,56.5,4.46,27.9,12.5,0,224,937,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,6.2,0,0.6,0,0.4,73,940,170,12,16,130,1.8,0,4.8,1570,0.02,9,11,0,7,0,0.6,0.09,0,0.05,0.25,2.4,6.1,8.5,0.36,2,12,0.4,2,0
"Beef, silverside, salted, raw, lean",Raw Salt Beef Silverside (Lean),🥩,FALSE,72,3.07,19.2,7,0,140,585,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3.5,0,0.3,0,0.2,49,640,120,4,19,180,1.5,0.03,3.1,1070,0,6,9,0,0,0,0.4,0.12,0,0.08,0.21,4.5,4,8.5,0.46,2,13,0.65,1,0
"Beef, silverside, salted, raw, lean and fat",Raw Salt Beef Silverside,🥩,FALSE,63.1,2.61,16.3,18,0,227,943,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,8.9,0,0.8,0,0.6,45,550,98,6,17,150,1.3,0.03,2.6,920,0,5,8,0,0,0,0.3,0.1,0,0.07,0.18,3.7,3.3,7,0.38,2,12,0.56,1,0
"Beef, sirloin joint, roasted, lean",Roasted Sirloin Joint (Lean),🥩,FALSE,59.2,5.18,32.4,6.5,0,188,791,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,2.7,0,0.2,0,0.2,79,55,350,7,24,220,2,0,5.7,60,0,11,15,0,8,0,0.7,0.02,0,0.13,0.28,4.7,7.3,12,0.58,3,7,0.41,2,0
"Beef, sirloin joint, roasted, lean and fat",Roasted Sirloin Joint,🥩,FALSE,54.5,4.77,29.8,12.6,0,233,973,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,5.2,0,0.4,0,0.4,85,53,330,7,22,200,1.9,0,5,57,0,10,15,0,7,0,0.6,0.03,0,0.12,0.27,4.2,6.3,10.5,0.52,3,11,0.45,2,0
"Beef, sirloin steak, fried in corn oil, lean",Pan-Fried Sirloin Steak (Lean),🥩,FALSE,61.8,4.61,28.8,8.2,0,189,793,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,3.3,0,0.7,0,0.3,82,69,400,6,27,240,2.3,0.04,5.2,58,0.02,10,11,0,8,0,0.7,N,0,0.12,0.26,6.3,6.5,12.8,0.6,2,17,0.85,2,0
"Beef, sirloin steak, fried in corn oil, lean and fat",Pan-Fried Sirloin Steak,🥩,FALSE,56.6,4.28,26.8,14,0,233,974,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5.9,0,1.1,0,0.6,89,64,370,6,25,220,2.1,0.03,4.6,56,0.02,9,12,0,7,0,0.5,N,0,0.11,0.25,5.5,5.6,11.1,0.54,2,19,0.82,2,0
"Beef, sirloin steak, from steakhouse, lean",Steakhouse Sirloin Steak (Lean),🥩,FALSE,62.5,5.04,31.5,5.1,0,172,724,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,2.2,0,0.3,0,0.1,77,76,440,7,30,270,2.5,0.04,5.7,63,0.02,10,12,0,8,0,0.7,N,0,0.13,0.28,6.9,7.1,14,0.66,3,18,0.93,2,0
"Beef, sirloin steak, from steakhouse, lean and fat",Steakhouse Sirloin Steak,🥩,FALSE,58.3,4.74,29.6,10.7,0,215,899,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,4.7,0,0.5,0,0.3,83,71,410,7,28,250,2.3,0.04,5.1,61,0.02,9,13,0,7,0,0.6,N,0,0.12,0.27,6.2,6.3,12.5,0.6,2,20,0.9,2,0
"Beef, sirloin steak, grilled medium-rare, lean",Medium-Rare Grilled Sirloin (Lean),🥩,FALSE,63.9,4.26,26.6,7.7,0,176,737,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.19,0.07,3.03,3.3,0.26,0.3,0.14,0.17,67,65,370,7,24,220,1.4,0,4.3,57,0,10,13,0,12,6,0.5,0.02,0,0.07,0.16,6.9,5.7,12.6,0.58,2,14,0.64,2,0
"Beef, sirloin steak, grilled medium-rare, lean and fat",Medium-Rare Grilled Sirloin,🥩,FALSE,58.9,3.97,24.8,12.6,0,213,888,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,5.4,0,0.4,0,0.4,70,60,340,7,22,200,1.3,0,3.9,54,0,9,13,0,10,0,0.4,0.03,0,0.07,0.16,6.1,5.1,11.2,0.53,2,15,0.62,2,0
"Beef, sirloin steak, grilled rare, lean",Rare Grilled Sirloin (Lean),🥩,FALSE,67.2,4.22,26.4,6.7,0,166,697,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2.9,0,0.2,0,0.2,64,63,370,6,25,220,2.1,0.04,4.8,53,0.02,9,10,0,8,0,0.6,0.06,0,0.11,0.24,5.8,5.9,11.7,0.55,2,15,0.78,2,0
"Beef, sirloin steak, grilled rare, lean and fat",Rare Grilled Sirloin,🥩,FALSE,61.7,4.02,25.1,12.8,0,216,900,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,5.6,0,0.4,0,0.4,74,60,340,6,23,210,2,0.03,4.3,52,0.02,8,11,0,7,0,0.5,0.07,0,0.1,0.24,5.2,5.2,10.4,0.5,2,18,0.77,2,0
"Beef, sirloin steak, grilled well-done, lean",Well-Done Grilled Sirloin (Lean),🥩,FALSE,55.7,5.42,33.9,9.9,0,225,943,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,4.3,0,0.3,0,0.3,83,81,470,7,32,290,2.7,0.04,6.1,68,0.02,11,13,0,8,0,0.8,0.08,0,0.15,0.31,7.4,7.6,15,0.71,3,20,1,2,0
"Beef, sirloin steak, grilled well-done, lean and fat",Well-Done Grilled Sirloin,🥩,FALSE,52.7,5.09,31.8,14.4,0,257,1073,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,6.3,0,0.5,0,0.5,87,76,440,7,30,260,2.5,0.04,5.5,65,0.02,10,14,0,7,0,0.7,0.08,0,0.14,0.3,6.7,6.8,13.7,0.65,3,21,0.96,2,0
"Beef, sirloin steak, raw, lean",Raw Sirloin Steak (Lean),🥩,FALSE,71.5,3.76,23.5,4.5,0,135,566,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.9,0,0.2,0,0.2,51,70,360,5,22,200,1.6,0.02,4,49,0,8,11,0,0,0,0.5,0.15,0,0.1,0.26,5.5,4.9,10.4,0.56,2,16,0.8,1,0
"Beef, sirloin steak, raw, lean and fat",Raw Sirloin Steak,🥩,FALSE,64.5,3.46,21.6,12.7,0,201,837,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,5.5,0,0.5,0,0.4,57,62,320,5,20,180,1.5,0.02,3.5,46,0,7,11,0,0,0,0.4,0.14,0,0.09,0.24,4.7,4.2,8.9,0.49,2,17,0.75,1,0
"Beef, stewing steak, frozen, stewed, lean","Stewed Beef Stewing Steak (Lean, Frozen)",🥩,FALSE,61.4,4.75,29.7,8.5,0,195,819,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,3.6,0,1.1,0,0.2,85,47,220,19,21,170,3,0.12,7.7,51,0,10,8,0,8,0,0.7,0.08,0,0.03,0.21,3.4,6.7,10.1,0.15,2,12,0.72,2,0
"Beef, stewing steak, frozen, stewed, lean and fat",Stewed Beef Stewing Steak (Frozen),🥩,FALSE,58.9,4.3,26.9,11.6,0,212,887,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,4.9,0,1.3,0,0.3,82,44,210,17,19,150,2.7,0.1,6.7,48,0,9,8,0,7,0,0.6,0.08,0,0.03,0.19,3.1,5.8,8.9,0.15,2,13,0.67,2,0
"Beef, stewing steak, pressure cooked, lean",Pressure-Cooked Stewing Steak (Lean),🥩,FALSE,58.2,5.62,35.1,6.5,0,199,837,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,2.7,0,0.8,0,0.2,100,60,290,19,23,220,2.8,0.04,9.5,35,0.01,12,13,0,8,0,0.8,0.07,0,0.03,0.19,3.3,7.9,11.2,0.28,3,N,0.42,2,0
"Beef, stewing steak, pressure cooked, lean and fat",Pressure-Cooked Stewing Steak,🥩,FALSE,56.3,5.44,34,9,0,217,911,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,3.8,0,1.1,0,0.3,105,60,290,18,23,220,2.7,0.04,8.7,38,0.01,11,14,0,7,0,0.7,0.08,0,0.04,0.2,3.2,7.3,10.5,0.29,3,N,0.48,2,0
"Beef, stewing steak, raw, lean",Raw Stewing Steak (Lean),🥩,FALSE,73.4,3.62,22.6,3.5,0,122,514,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,1.6,0,0.2,0,0.1,67,69,360,5,21,190,2.1,0.04,5.7,69,0,7,12,0,0,0,0.8,0.2,0,0.07,0.27,4.2,4.5,8.7,0.45,2,5,0.65,1,0
"Beef, stewing steak, raw, lean and fat",Raw Stewing Steak,🥩,FALSE,70.1,3.54,22.1,6.4,0,146,613,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,2.9,0,0.4,0,0.2,69,66,340,5,20,180,2,0.04,5.3,66,0,7,13,0,0,0,0.7,0.2,0,0.07,0.26,4,4.3,8.3,0.42,2,6,0.65,1,0
"Beef, stewing steak, stewed, lean",Stewed Beef Stewing Steak (Lean),🥩,FALSE,61.6,5.12,32,6.3,0,185,777,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,2.6,0,0.8,0,0.17,91,54,270,17,21,200,2.6,0.04,8.6,32,0.01,11,12,0,8,1,0.7,0.19,0,0.02,0.15,2.6,7.2,9.8,0.23,3,8,0.31,2,0
"Beef, stewing steak, stewed, lean and fat",Stewed Beef Stewing Steak,🥩,FALSE,59.4,4.67,29.2,9.6,0,203,852,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.99,0.09,3.82,4.2,1.04,0.9,0.16,0.27,91,51,250,15,19,180,2.3,0.04,7.5,33,0.01,10,12,0,7,1,0.6,0.17,0,0.03,0.15,2.4,6.2,8.6,0.23,2,11,0.3,2,0
"Beef, stir-fried with green peppers, homemade",Beef and Green Pepper Stir-Fry,🥩,FALSE,71.2,1.89,11.8,8,6.1,145,607,2.2,0,3.8,0.8,0,0.9,2.1,0,0,0.4,0.8,N,2.67,0,0,0,2.88,0,1.94,0,0.16,32.5,212,274,10,19,122,1.88,0.04,2,298,0.07,4,6,0,165,28,0.2,1.54,0,0.05,0.11,2.3,2.6,4.9,0.38,0.9,11,0.32,N,38
"Beef, topside, microwaved, lean",Microwaved Topside Beef (Lean),🥩,FALSE,60.6,5.6,35,4.6,0,181,765,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,2.1,0,0.2,0,0.2,85,60,290,8,23,220,2.8,0.04,6.3,35,0.01,12,13,0,8,0,0.8,0.05,0,0.05,0.3,4.4,7.9,12.3,0.42,3,67,0.49,2,0
"Beef, topside, microwaved, lean and fat",Microwaved Topside Beef,🥩,FALSE,56.8,5.14,32.1,11.1,0,228,956,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,5.1,0,0.5,0,0.4,82,55,270,7,21,200,2.6,0.04,5.7,33,0.01,11,12,0,7,0,0.7,0.05,0,0.05,0.28,4,7.1,11.1,0.39,3,61,0.47,2,0
"Beef, topside, raw, lean",Raw Topside Beef (Lean),🥩,FALSE,72.8,3.68,23,2.7,0,116,491,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,1.2,0,0.2,0,0.1,50,77,390,6,25,220,1.9,0.08,4,49,0.02,8,10,0,0,0,0.5,0.15,0,0.09,0.19,5.3,5,10.3,0.55,2,24,0.66,1,0
"Beef, topside, raw, lean and fat",Raw Topside Beef,🥩,FALSE,65.8,3.26,20.4,12.9,0,198,824,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,5.8,0,0.8,0,0.4,48,67,340,5,22,190,1.7,0.07,3.5,44,0.02,7,9,0,0,0,0.4,0.13,0,0.08,0.17,4.6,4.3,8.9,0.48,2,22,0.59,1,0
"Beef, topside, roasted medium-rare, lean",Medium-Rare Roasted Topside (Lean),🥩,FALSE,62.2,5.15,32.2,5.1,0,175,736,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,2.3,0,0.2,0,0.2,68,66,390,5,25,230,2.5,0.07,5.6,56,0.02,10,9,0,0,0,0.4,0.04,0,0.06,0.32,5.4,6.6,12,0.54,2,14,0.55,2,0
"Beef, topside, roasted medium-rare, lean and fat",Medium-Rare Roasted Topside,🥩,FALSE,57.6,4.78,29.9,11.4,0,222,930,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0.44,0.11,4.81,5.2,0.43,0.5,0.21,0.44,71,62,360,5,23,210,2.3,0.06,5.1,54,0.02,9,10,0,0,0,0.4,0.05,0,0.06,0.3,4.9,5.9,10.8,0.5,2,15,0.55,2,0
"Beef, topside, roasted well-done, lean",Well-Done Roasted Topside (Lean),🥩,FALSE,56.9,5.79,36.2,6.3,0,202,849,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,2.8,0,0.3,0,0.2,88,62,410,8,27,230,2.9,0.04,6.5,36,0.01,12,13,0,8,0,0.8,0.08,0.19,0.09,0.29,5.8,8.1,13.9,0.56,3,21,0.6,2,0
"Beef, topside, roasted well-done, lean and fat",Well-Done Roasted Topside,🥩,FALSE,53,5.25,32.8,12.5,0,244,1020,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,5.7,0,0.6,0,0.5,83,57,370,7,24,210,2.6,0.04,5.8,34,0.01,11,12,0,7,0,0.7,0.08,0,0.08,0.27,5.2,7.2,12.4,0.51,3,20,0.56,2,0
"Bhaji, cabbage and pea, with butter ghee, homemade",Cabbage and Pea Bhaji,🥬,FALSE,66.3,0.55,3.4,14.2,9.7,177,736,1.7,0,7.1,2.3,0,2,2.8,0,0,0,3.1,4.8,8.31,0,0,0,3.65,0,0.86,0,0.29,34.5,251,312,59,23,59,1.16,0.08,0.5,94,0.27,1,8,129,668,240,0.1,1.03,0,0.32,0.05,1,0.6,1,0.14,0,22,0.21,0.6,17
"Bhaji, cabbage and potato, with butter, homemade",Cabbage and Potato Bhaji,🥔,FALSE,77.2,0.43,2.7,5.6,9.7,98,410,4.4,0,4.9,2.3,0,2,0.6,0,0,0,2.6,4.1,3.48,0,0,0,1.39,0,0.3,0,0.19,14.1,55,385,53,19,48,0.6,0.06,0.3,170,0.21,1,4,63,430,135,0.1,0.3,0,0.26,0.04,0.5,0.4,0.5,0.14,0,21,0.33,0.4,23
"Bhaji, carrot, potato and pea, with butter, homemade","Carrot, Potato and Pea Bhaji",🥔,FALSE,75.3,0.34,2.2,6.6,12.9,116,488,5.6,0,6.8,1.3,0,1.2,4.2,0,0,0,2.5,4.1,4.01,0,0,0,1.65,0,0.35,0.14,0.22,16,72,297,31,17,44,0.66,0.07,0.3,201,0.18,0,4,72,6425,1143,0.1,0.33,0,0.21,0.03,0.6,0.4,0.6,0.1,0,11,0.26,0.6,6
"Bhaji, cauliflower, potato and pea, with butter","Cauliflower, Potato and Pea Bhaji",🥔,FALSE,71.9,0.56,3.5,11.3,8.2,145,603,5.5,0.2,2.5,1.1,0,1,0.3,0,0,0,1.9,0,7.1,0,0,0,2.7,0,0.7,0,0,29,400,390,23,22,65,1,0.06,0.6,640,0.3,0,6,105,195,138,0.1,0.5,0,0.16,0.04,0.6,0.8,1.4,0.26,0,29,0.42,0.9,17
"Bhaji, karela, with butter ghee, homemade",Karela Bhaji,🍛,FALSE,81.4,0.29,1.8,10.6,1.2,103,426,0.9,0,0,0,0,0,0,0,0,0,2.4,0,6.6,0,0,0,2.5,0,0.5,0,0,27,N,340,29,33,51,2.2,0.26,0.5,N,0.4,N,N,67,780,197,0.2,N,0,0.07,0.05,0.5,0.3,0.8,N,0,19,N,N,81
"Bhaji, okra, Bangladeshi, with butter ghee, homemade",Bangladeshi Okra Bhaji,🥒,FALSE,78.2,0.36,2.4,6.2,7.7,97,400,0.4,1.3,5.6,1.9,0,1.7,1.9,0,0,0,3.3,N,3.5,0,0,0,1.52,0,0.49,0,0.12,14,7,299,112,46,53,0.96,0.11,0.5,65,0,1,N,53,401,119,0.1,N,0,0.16,0.04,0.6,0.5,1.3,0.22,0,29,0.18,N,8
"Bhaji, potato, with butter ghee, homemade",Potato Bhaji,🥔,FALSE,67.1,0.35,2.2,9.8,16.6,161,669,14.7,0.3,1.5,0.5,0,0.4,0.6,0,0,0,1.4,2.1,5.7,0,0,0,2.5,0,0.48,0,0.2,23.8,4,467,24,26,43,1.08,0.08,0.3,85,0.11,0,3,89,202,123,0.1,0.61,0.83,0.16,0.02,0.3,0.5,0.8,0.35,0,7,0.29,0.3,9
