name,display_name,emoji,recommend,water_g,nitrogen_g,protein_g,fat_g,carbohydrate_g,energy_kcal,energy_kJ,starch_g,oligosaccharide_g,sugar_g,glucose_g,galactose_g,fructose_g,sucrose_g,maltose_g,lactose_g,alcohol_g,non_starch_polysaccharide_g,fibre_g,saturated_fat_g,n_6_polyunsaturated_fat_g,n_3_polyunsaturated_fat_g,cis_monounsaturated_g,monounsaturated_fat_g,cis_polyunsaturated_fat_g,polyunsaturated_fat_g,branched_chain_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,copper_mg,zinc_mg,chloride_mg,manganese_mg,selenium_ug,iodine_ug,retinol_ug,carotene_ug,retinol_equivalent_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k1_ug,thiamin_mg,riboflavin_mg,niacin_mg,tryptophan_over_60_mg,niacin_equivalent_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,pantothenate_mg,biotin_ug,vitamin_c_mg
unit,,,,g,g,g,g,g,kcal,kJ,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,ug,ug,ug,ug,ug,ug,mg,ug,mg,mg,mg,mg,mg,mg,ug,ug,mg,ug,mg
code,,,,WATER,TOTNIT,PROT,FAT,CHO,KCALS,KJ,STAR,OLIGO,TOTSUG,GLUC,GALACT,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFOD,TOTn6PFOD,TOTn3PFOD,MONOFODc,MONOFOD,POLYFODc,POLYFOD,TOTBRFOD,FODTRANS,CHOL,NA,K,CA,MG,P,FE,CU,ZN,CL,MN,SE,I,RET,CAREQU,RETEQU,VITD,VITE,VITK1,THIA,RIBO,NIAC,TRYP60,NIACEQU,VITB6,VITB12,FOLT,PANTO,BIOT,VITC
detail,,,,Water,Total nitrogen,Protein,Fat,Carbohydrate,Energy (kcal),Energy (kJ),Starch,Oligosaccharide,Sugars,Glucose,Galactose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids,Total n-6 polyunsaturated fatty acids,Total n-3 polyunsaturated fatty acids,cis-Monounsaturated fatty acids,Monounsaturated fatty acids,cis-Polyunsaturated fatty acids,Polyunsaturated fatty acids,Total branched chain,Total Trans fatty acids,Cholesterol,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Copper,Zinc,Chloride,Manganese,Selenium,Iodine,Retinol,Carotene,Total retinol equivalent,Vitamin D,Vitamin E,Phylloquinone,Thiamin,Riboflavin,Niacin,Tryptophan divided by 60,Niacin equivalent,Vitamin B6,Vitamin B12,Folate,Pantothenate,Biotin,Vitamin C
"Almonds, whole kernels",Whole Almonds,🥜,TRUE,4.4,4.09,21.2,49.9,5.3,554,2292,0.8,0,4.5,0.2,0.1,0.1,4.1,0,0,0,N,12.5,3.8,0,0,0,31.55,0,12.33,0,0.02,0,1,733,269,270,481,3.71,1.031,3.1,18,2.18,4,2,0,1,0,0,25.63,0,0.21,1.14,3.6,3.4,7,0.14,0,44,0.47,64,0
"Amaranth leaves, boiled in unsalted water",Boiled Amaranth Leaves,🥬,TRUE,90.4,0.48,3,0.3,0.3,16,67,0.1,0,0.2,0,0,0.2,0,0,0,0,N,0,0.1,0,0,0,0.1,0,0.1,0,0,0,11,540,220,110,54,2.4,0.11,0.5,12,0.9,N,N,0,1490,245,0,N,0,0.03,0.16,0.7,0.8,1.5,N,0,51,N,N,31
"Amaranth leaves, raw",Raw Amaranth Leaves,🥬,TRUE,88.9,0.56,3.5,0.3,0.3,18,75,0.1,0,0.2,0,0,0.2,0,0,0,0,N,0,0.1,0,0,0,0.1,0,0.1,0,0,0,13,620,270,130,65,3,0.13,0.6,14,1,N,N,0,1725,285,0,N,0,0.07,0.22,0.7,0.9,1.6,N,0,85,N,N,42
Amla,Amla,🍛,TRUE,81.8,0.08,0.5,0.1,13.7,58,243,N,0,N,N,0,N,N,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,5,230,50,N,20,1.2,0.18,N,N,N,N,N,0,9,1,0,N,0,0.03,0.01,0.2,N,N,N,0,N,N,N,N
Anise seeds,Anise Seeds,🍛,TRUE,9.5,2.82,17.6,15.9,N,N,N,N,0,N,N,0,N,N,0,0,0,N,0,2.3,0,0,0,9.8,0,3.1,0,0,0,16,1440,650,170,440,37,0.91,5.3,N,2.3,N,N,0,N,0,0,N,0,N,N,N,N,N,N,0,0,N,N,0
"Apple juice concentrate, unsweetened, commerical",Unsweetened Apple Juice Concentrate,🍎,TRUE,31.4,0.08,0.5,0.6,57.6,223,952,0,0,57.6,13.2,0,33.9,10.4,0,0,0,0,0,0.1,0,0,0,0,0,0.3,0,0,0,11,640,35,29,38,1.6,0,0.1,7,0.5,0,0,0,0,0,0,0.02,0,0.01,0.02,0.7,0.1,0.8,0.07,0,1,0.22,2,49
"Apple juice, clear, ambient and chilled",Apple Juice,🍎,TRUE,86.6,0.02,0.1,0,9.7,37,157,0,0,9.7,2.4,0,5.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,89,6,4,6,0.06,0.01,0,64,0.03,0,0,0,0,0,0,0,0,0.05,0.02,0.2,0,0.2,0.05,0,1,0.05,0.9,26
"Apple sauce, homemade",Homemade Apple Sauce,🍎,TRUE,77.5,0.04,0.3,0.2,20.2,79,336,0,0,20.2,1.6,0,4.8,13.7,0,0,0,1.3,1.4,0.05,0,0,0,0.02,0,0.11,0,0,0,2,75,5,3,6,0.11,0.03,0,N,0.02,0,3,0,0,0,0,0.1,0,0.03,0.01,0.1,0.1,0.2,0.04,0,1,0,0.7,9
"Apples, cooking, baked with sugar, flesh only",Baked Cooking Apples with Sugar,🍎,TRUE,79.9,0.02,0.2,0.4,17.1,69,292,0,0,17.1,2.4,0,6.6,8.1,0,0,0,1.4,1.9,0.07,0,0,0,0.04,0,0.14,0,0,0,1,100,5,3,8,0.17,0.04,0,83,0.02,0,4,0,0,0,0,0.12,0,0.02,0.04,0.2,0.1,0.3,0.06,0,0,0.12,1.1,14
"Apples, cooking, baked with sugar, flesh only, weighed with skin",Baked Cooking Apples with Sugar (with skin),🍎,TRUE,67.1,0.02,0.2,0.3,14.3,57,243,0,0,14.3,2,0,5.5,6.8,0,0,0,1.2,1.6,0.06,0,0,0,0.03,0,0.12,0,0,0,1,84,4,3,6,0.14,0.04,0,70,0.02,0,3,0,0,0,0,0.1,0,0.02,0.03,0.2,0.1,0.3,0.05,0,0,0.1,0.9,12
